location,year,sex,age,smoke,overweight
CHN,2008,male,35-39,0.515502512,0.287
CHN,2008,male,40-44,0.554014623,0.304
CHN,2008,male,45-49,0.569486797,0.312
CHN,2008,male,50-54,0.556577504,0.291
CHN,2008,male,55-59,0.523016632,0.279
CHN,2008,male,60-64,0.467814207,0.267
CHN,2008,male,65-69,0.409759015,0.265
CHN,2009,female,20-24,0.008557539,0.105
CHN,2009,female,25-29,0.006316935,0.152
CHN,2009,female,30-34,0.010404919,0.189
CHN,2009,female,35-39,0.0139929,0.243
CHN,2009,female,40-44,0.021628566,0.299
CHN,2009,female,45-49,0.02397087,0.356
CHN,2009,female,50-54,0.025885038,0.357
CHN,2009,female,55-59,0.029777477,0.359
CHN,2009,female,60-64,0.034448262,0.35
CHN,2009,female,65-69,0.051421434,0.33
CHN,2009,male,20-24,0.386709899,0.168
CHN,2009,male,25-29,0.436343491,0.227
CHN,2009,male,30-34,0.472141981,0.261
CHN,2009,male,35-39,0.513429344,0.295
CHN,2009,male,40-44,0.552747905,0.311
CHN,2009,male,45-49,0.571405888,0.322
CHN,2009,male,50-54,0.559899032,0.3
CHN,2009,male,55-59,0.524861455,0.287
CHN,2009,male,60-64,0.470528245,0.274
CHN,2009,male,65-69,0.41379565,0.271
CHN,2010,female,20-24,0.008399795,0.111
CHN,2010,female,25-29,0.006156824,0.157
CHN,2010,female,30-34,0.010906653,0.193
CHN,2010,female,35-39,0.014195857,0.247
CHN,2010,female,40-44,0.022364806,0.303
CHN,2010,female,45-49,0.023603283,0.359
CHN,2010,female,50-54,0.026344717,0.363
CHN,2010,female,55-59,0.03007976,0.362
CHN,2010,female,60-64,0.033270441,0.356
CHN,2010,female,65-69,0.05192554,0.337
CHN,2010,male,20-24,0.393768847,0.173
CHN,2010,male,25-29,0.434376985,0.233
CHN,2010,male,30-34,0.469872326,0.269
CHN,2010,male,35-39,0.514044464,0.302
CHN,2010,male,40-44,0.5526824,0.318
CHN,2010,male,45-49,0.574108243,0.33
CHN,2010,male,50-54,0.564177811,0.307
CHN,2010,male,55-59,0.527224064,0.294
CHN,2010,male,60-64,0.474503964,0.281
CHN,2010,male,65-69,0.418638051,0.276
CHN,2011,female,20-24,0.008473836,0.115
CHN,2011,female,25-29,0.006260522,0.161
CHN,2011,female,30-34,0.011458589,0.197
CHN,2011,female,35-39,0.014613333,0.251
CHN,2011,female,40-44,0.023131147,0.306
CHN,2011,female,45-49,0.023775604,0.362
CHN,2011,female,50-54,0.027241159,0.369
CHN,2011,female,55-59,0.031006336,0.366
CHN,2011,female,60-64,0.033695653,0.361
CHN,2011,female,65-69,0.053231236,0.343
CHN,2011,male,20-24,0.401245475,0.178
CHN,2011,male,25-29,0.437604547,0.238
CHN,2011,male,30-34,0.472960979,0.275
CHN,2011,male,35-39,0.518786967,0.308
CHN,2011,male,40-44,0.555458188,0.323
CHN,2011,male,45-49,0.57759124,0.335
CHN,2011,male,50-54,0.568961084,0.313
CHN,2011,male,55-59,0.530338407,0.299
CHN,2011,male,60-64,0.480165094,0.286
CHN,2011,male,65-69,0.424443603,0.281
CHN,2012,female,20-24,0.008648641,0.119
CHN,2012,female,25-29,0.006500925,0.165
CHN,2012,female,30-34,0.011993164,0.201
CHN,2012,female,35-39,0.015176227,0.255
CHN,2012,female,40-44,0.023939608,0.309
CHN,2012,female,45-49,0.024303975,0.364
CHN,2012,female,50-54,0.028313745,0.374
CHN,2012,female,55-59,0.032205626,0.37
CHN,2012,female,60-64,0.034818038,0.366
CHN,2012,female,65-69,0.05469723,0.349
CHN,2012,male,20-24,0.40856111,0.183
CHN,2012,male,25-29,0.443257898,0.241
CHN,2012,male,30-34,0.478342503,0.279
CHN,2012,male,35-39,0.524410665,0.312
CHN,2012,male,40-44,0.559133768,0.328
CHN,2012,male,45-49,0.581336796,0.34
CHN,2012,male,50-54,0.573352337,0.318
CHN,2012,male,55-59,0.533287287,0.303
CHN,2012,male,60-64,0.485798061,0.29
CHN,2012,male,65-69,0.43053937,0.284
GBR,2000,female,20-24,0.365728289,0.343
GBR,2000,female,25-29,0.35084945,0.412
GBR,2000,female,30-34,0.330773622,0.469
GBR,2000,female,35-39,0.29571709,0.503
GBR,2000,female,40-44,0.28644231,0.537
GBR,2000,female,45-49,0.266680956,0.577
GBR,2000,female,50-54,0.272799015,0.643
GBR,2000,female,55-59,0.261197776,0.656
GBR,2000,female,60-64,0.200971171,0.704
GBR,2000,female,65-69,0.192436397,0.709
GBR,2000,male,20-24,0.4070445,0.373
GBR,2000,male,25-29,0.383440584,0.533
GBR,2000,male,30-34,0.35553056,0.624
GBR,2000,male,35-39,0.315654188,0.665
GBR,2000,male,40-44,0.291880518,0.706
GBR,2000,male,45-49,0.296052009,0.719
GBR,2000,male,50-54,0.266143858,0.754
GBR,2000,male,55-59,0.248270914,0.759
GBR,2000,male,60-64,0.213725701,0.75
GBR,2000,male,65-69,0.195760638,0.758
GBR,2001,female,20-24,0.359301329,0.347
GBR,2001,female,25-29,0.341588467,0.413
GBR,2001,female,30-34,0.329228222,0.482
GBR,2001,female,35-39,0.289314091,0.507
GBR,2001,female,40-44,0.284021676,0.543
GBR,2001,female,45-49,0.25933525,0.578
GBR,2001,female,50-54,0.265500337,0.642
GBR,2001,female,55-59,0.253910899,0.654
GBR,2001,female,60-64,0.195548102,0.698
GBR,2001,female,65-69,0.181622416,0.707
GBR,2001,male,20-24,0.399199456,0.38
GBR,2001,male,25-29,0.380895346,0.532
GBR,2001,male,30-34,0.358394057,0.628
GBR,2001,male,35-39,0.316395462,0.671
GBR,2001,male,40-44,0.288303137,0.712
GBR,2001,male,45-49,0.290670007,0.718
GBR,2001,male,50-54,0.263497978,0.757
GBR,2001,male,55-59,0.241557732,0.759
GBR,2001,male,60-64,0.208243847,0.749
GBR,2001,male,65-69,0.189653993,0.757
GBR,2002,female,20-24,0.350249887,0.348
GBR,2002,female,25-29,0.329975098,0.414
GBR,2002,female,30-34,0.322373629,0.491
GBR,2002,female,35-39,0.282869875,0.508
GBR,2002,female,40-44,0.281789839,0.549
GBR,2002,female,45-49,0.25450626,0.579
GBR,2002,female,50-54,0.260422766,0.638
GBR,2002,female,55-59,0.246345371,0.652
GBR,2002,female,60-64,0.193012044,0.691
GBR,2002,female,65-69,0.175252631,0.701
GBR,2002,male,20-24,0.389876485,0.385
GBR,2002,male,25-29,0.3753075,0.53
GBR,2002,male,30-34,0.359057963,0.629
GBR,2002,male,35-39,0.315110683,0.675
GBR,2002,male,40-44,0.287787527,0.716
GBR,2002,male,45-49,0.283954561,0.717
GBR,2002,male,50-54,0.262038141,0.757
GBR,2002,male,55-59,0.23477219,0.758
GBR,2002,male,60-64,0.204113081,0.748
GBR,2002,male,65-69,0.182462081,0.755
GBR,2003,female,20-24,0.334396183,0.348
GBR,2003,female,25-29,0.315987915,0.416
GBR,2003,female,30-34,0.307293057,0.496
GBR,2003,female,35-39,0.275563091,0.51
GBR,2003,female,40-44,0.277045101,0.552
GBR,2003,female,45-49,0.251669496,0.581
GBR,2003,female,50-54,0.255176097,0.632
GBR,2003,female,55-59,0.238931507,0.649
GBR,2003,female,60-64,0.193539441,0.682
